timestamp,service,message
1650164540,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
1650164540,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164540,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164540,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164540,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164540,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164540,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
1650164540,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164540,user-service,<warning>: (UserHandler.h:311:RegisterUser) User aaa already existed.
1650164540,user-service,<warning>: (UserHandler.h:311:RegisterUser) User jack already existed.
1650164540,user-service,<warning>: (UserHandler.h:311:RegisterUser) User aaa already existed.
1650164540,user-service,<warning>: (UserHandler.h:311:RegisterUser) User jack already existed.
1650164540,compose-post-service,<error>: (ComposePostHandler.h:353:_UploadHomeTimelineHelper) Failed to write home timeline to home-timeline-service
1650164540,compose-post-service,<error>: (ComposePostHandler.h:353:_UploadHomeTimelineHelper) Failed to write home timeline to home-timeline-service
1650164541,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164541,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
1650164541,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
1650164541,compose-post-service,<error>: (ComposePostHandler.h:353:_UploadHomeTimelineHelper) Failed to write home timeline to home-timeline-service
1650164541,compose-post-service,<error>: (ComposePostHandler.h:353:_UploadHomeTimelineHelper) Failed to write home timeline to home-timeline-service
1650164541,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164541,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164541,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164541,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164541,user-service,<warning>: (UserHandler.h:311:RegisterUser) User aaa already existed.
1650164541,user-service,<warning>: (UserHandler.h:311:RegisterUser) User jack already existed.
1650164541,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164541,user-service,<warning>: (UserHandler.h:311:RegisterUser) User aaa already existed.
1650164541,user-service,<warning>: (UserHandler.h:311:RegisterUser) User jack already existed.
1650164542,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164542,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
1650164542,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164542,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164542,user-service,<warning>: (UserHandler.h:311:RegisterUser) User aaa already existed.
1650164542,user-service,<warning>: (UserHandler.h:311:RegisterUser) User jack already existed.
1650164542,compose-post-service,<error>: (ComposePostHandler.h:353:_UploadHomeTimelineHelper) Failed to write home timeline to home-timeline-service
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164543,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164543,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:544:GetFollowers) ZADD: no key specified
1650164543,compose-post-service,<error>: (ComposePostHandler.h:353:_UploadHomeTimelineHelper) Failed to write home timeline to home-timeline-service
1650164543,compose-post-service,<error>: (ComposePostHandler.h:353:_UploadHomeTimelineHelper) Failed to write home timeline to home-timeline-service
1650164543,home-timeline-service,<error>: (HomeTimelineHandler.h:96:WriteHomeTimeline) Failed to get followers from social-network-service
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
1650164543,user-service,<warning>: (UserHandler.h:311:RegisterUser) User aaa already existed.
1650164543,user-service,<warning>: (UserHandler.h:311:RegisterUser) User jack already existed.
1650164543,user-service,<warning>: (UserHandler.h:311:RegisterUser) User aaa already existed.
1650164543,user-service,<warning>: (UserHandler.h:311:RegisterUser) User jack already existed.
1650164543,social-graph-service,<error>: (SocialGraphHandler.h:688:GetFollowees) ZADD: no key specified
